1	0	0.0	0.00	3500	0.0	0.6392	1.1693	0.9405	0.6264	0.4690
2	1	0.0	0.00	3500	0.0	0.1658	-0.3310	-0.0913	0.1450	0.2334
3	0	0.0	0.50	3500	0.0	0.7475	1.1720	0.9380	0.6126	0.4603
4	1	0.0	0.50	3500	0.0	0.0656	-0.3168	-0.0944	0.1470	0.2345
5	0	0.0	1.00	3500	0.0	0.8345	1.1615	0.9306	0.5992	0.4526
6	1	0.0	1.00	3500	0.0	-0.0105	-0.2940	-0.0951	0.1489	0.2365
7	0	0.0	1.50	3500	0.0	0.8813	1.1440	0.9205	0.5874	0.4469
8	1	0.0	1.50	3500	0.0	-0.0464	-0.2683	-0.0943	0.1496	0.2381
9	0	0.0	2.00	3500	0.0	0.8876	1.1233	0.9086	0.5771	0.4429
10	1	0.0	2.00	3500	0.0	-0.0437	-0.2426	-0.0917	0.1500	0.2394
11	0	0.0	2.50	3500	0.0	0.8600	1.0943	0.8948	0.5671	0.4404
12	1	0.0	2.50	3500	0.0	-0.0100	-0.2114	-0.0858	0.1513	0.2404
13	0	0.0	3.00	3500	0.0	0.7829	1.0058	0.8570	0.5423	0.4189
14	1	0.0	3.00	3500	0.0	0.0688	-0.1264	-0.0539	0.1683	0.2583
15	0	0.0	3.50	3500	0.0	0.6001	0.7336	0.7110	0.4508	0.3140
16	1	0.0	3.50	3500	0.0	0.2407	0.1257	0.0857	0.2483	0.3453
17	0	0.0	4.00	3500	0.0	0.4600	0.5011	0.5382	0.3452	0.1983
18	1	0.0	4.00	3500	0.0	0.3630	0.3311	0.2473	0.3395	0.4376
19	0	0.0	4.50	3500	0.0	0.3965	0.3851	0.4216	0.2726	0.1231
20	1	0.0	4.50	3500	0.0	0.4081	0.4248	0.3533	0.4012	0.4955
21	0	0.0	5.00	3500	0.0	0.4065	0.3415	0.3460	0.2245	0.0785
22	1	0.0	5.00	3500	0.0	0.3753	0.4500	0.4201	0.4419	0.5274
23	0	0.0	0.00	3750	0.0	0.8844	1.1975	0.8395	0.5711	0.4377
24	1	0.0	0.00	3750	0.0	-0.0498	-0.3735	-0.0113	0.1924	0.2503
25	0	0.0	0.50	3750	0.0	0.9717	1.2002	0.8430	0.5798	0.4410
26	1	0.0	0.50	3750	0.0	-0.1384	-0.3601	-0.0113	0.1765	0.2379
27	0	0.0	1.00	3750	0.0	1.0446	1.1876	0.8488	0.5887	0.4446
28	1	0.0	1.00	3750	0.0	-0.2106	-0.3362	-0.0175	0.1591	0.2260
29	0	0.0	1.50	3750	0.0	1.0854	1.1692	0.8577	0.5965	0.4480
30	1	0.0	1.50	3750	0.0	-0.2498	-0.3112	-0.0296	0.1421	0.2157
31	0	0.0	2.00	3750	0.0	1.0831	1.1448	0.8668	0.6017	0.4509
32	1	0.0	2.00	3750	0.0	-0.2468	-0.2843	-0.0435	0.1277	0.2076
33	0	0.0	2.50	3750	0.0	1.0419	1.1153	0.8743	0.6047	0.4529
34	1	0.0	2.50	3750	0.0	-0.2074	-0.2556	-0.0569	0.1159	0.2017
35	0	0.0	3.00	3750	0.0	0.9699	1.0760	0.8762	0.6032	0.4517
36	1	0.0	3.00	3750	0.0	-0.1407	-0.2201	-0.0648	0.1091	0.2001
37	0	0.0	3.50	3750	0.0	0.8412	0.9655	0.8225	0.5665	0.4158
38	1	0.0	3.50	3750	0.0	-0.0213	-0.1196	-0.0188	0.1368	0.2306
39	0	0.0	4.00	3750	0.0	0.6334	0.6908	0.6180	0.4323	0.2848
40	1	0.0	4.00	3750	0.0	0.1725	0.1311	0.1697	0.2560	0.3419
41	0	0.0	4.50	3750	0.0	0.4737	0.4483	0.4014	0.2854	0.1506
42	1	0.0	4.50	3750	0.0	0.3135	0.3440	0.3629	0.3829	0.4492
43	0	0.0	5.00	3750	0.0	0.4089	0.3307	0.2726	0.1922	0.0704
44	1	0.0	5.00	3750	0.0	0.3597	0.4392	0.4718	0.4597	0.5089
45	0	0.0	0.00	4000	0.0	1.1539	1.1361	0.7680	0.5074	0.4020
46	1	0.0	0.00	4000	0.0	-0.2781	-0.3145	0.0332	0.2307	0.2714
47	0	0.0	0.50	4000	0.0	1.2164	1.1390	0.7610	0.5102	0.4064
48	1	0.0	0.50	4000	0.0	-0.3416	-0.2995	0.0459	0.2247	0.2593
49	0	0.0	1.00	4000	0.0	1.2612	1.1326	0.7571	0.5161	0.4106
50	1	0.0	1.00	4000	0.0	-0.3870	-0.2797	0.0528	0.2152	0.2481
51	0	0.0	1.50	4000	0.0	1.2788	1.1247	0.7586	0.5253	0.4154
52	1	0.0	1.50	4000	0.0	-0.4062	-0.2634	0.0524	0.2023	0.2373
53	0	0.0	2.00	4000	0.0	1.2637	1.1125	0.7631	0.5372	0.4204
54	1	0.0	2.00	4000	0.0	-0.3952	-0.2480	0.0477	0.1868	0.2275
55	0	0.0	2.50	4000	0.0	1.2188	1.0989	0.7714	0.5505	0.4254
56	1	0.0	2.50	4000	0.0	-0.3584	-0.2352	0.0380	0.1694	0.2184
57	0	0.0	3.00	4000	0.0	1.1470	1.0810	0.7813	0.5636	0.4304
58	1	0.0	3.00	4000	0.0	-0.2995	-0.2220	0.0257	0.1517	0.2102
59	0	0.0	3.50	4000	0.0	1.0514	1.0502	0.7871	0.5730	0.4328
60	1	0.0	3.50	4000	0.0	-0.2213	-0.1998	0.0165	0.1369	0.2046
61	0	0.0	4.00	4000	0.0	0.9022	0.9426	0.7248	0.5290	0.3893
62	1	0.0	4.00	4000	0.0	-0.0914	-0.1073	0.0701	0.1721	0.2407
